Classification,Classification,Occurrences,perc_callcat_tag1,perc_callcat_all_tag1,Classification,Occurrences,perc_callcat_tag2,perc_callcat_all_tag2,Classification,Occurrences,perc_callcat_tag3,perc_callcat_all_tag3,Classification,Occurrences,perc_callcat_tag4,perc_callcat_all_tag4,Total
1,0,0,0,0,1,652,0.274873524,0.10976431,0,0,0,0,1,3,0.000973078,0.000505051,655
2,2,82,0.220430108,0.013804714,2,87,0.036677909,0.014646465,0,0,0,0,2,3,0.000973078,0.000505051,172
2.1,0,0,0,0,2.1,127,0.053541315,0.021380471,0,0,0,0,0,0,0,0,127
3,0,0,0,0,3,16,0.006745363,0.002693603,0,0,0,0,0,0,0,0,16
4,0,0,0,0,4,7,0.002951096,0.001178451,0,0,0,0,4,13,0.004216672,0.002188552,20
5,0,0,0,0,5,3,0.001264755,0.000505051,5,2,0.017699115,0.0003367,5,12,0.003892313,0.002020202,17
6,0,0,0,0,6,41,0.017284992,0.006902357,0,0,0,0,0,0,0,0,41
7,0,0,0,0,7,140,0.059021922,0.023569024,0,0,0,0,0,0,0,0,140
8,0,0,0,0,8,5,0.002107926,0.000841751,0,0,0,0,8,68,0.022056439,0.011447811,73
9,0,0,0,0,9,23,0.009696459,0.003872054,0,0,0,0,0,0,0,0,23
10,0,0,0,0,10,4,0.001686341,0.000673401,10,23,0.203539823,0.003872054,10,138,0.044761596,0.023232323,165
11,0,0,0,0,0,0,0,0,0,0,0,0,11,5,0.001621797,0.000841751,5
12,0,0,0,0,0,0,0,0,0,0,0,0,12,3,0.000973078,0.000505051,3
13,0,0,0,0,13,76,0.032040472,0.012794613,0,0,0,0,13,1,0.000324359,0.00016835,77
14,0,0,0,0,14,3,0.001264755,0.000505051,0,0,0,0,0,0,0,0,3
15,0,0,0,0,15,422,0.177908938,0.071043771,0,0,0,0,15,15,0.004865391,0.002525253,437
16,0,0,0,0,16,3,0.001264755,0.000505051,16,4,0.03539823,0.000673401,16,81,0.026273111,0.013636364,88
17,0,0,0,0,17,5,0.002107926,0.000841751,0,0,0,0,17,8,0.002594875,0.001346801,13
18,0,0,0,0,0,0,0,0,0,0,0,0,18,7,0.002270516,0.001178451,7
19,0,0,0,0,0,0,0,0,0,0,0,0,19,10,0.003243594,0.001683502,10
20,0,0,0,0,0,0,0,0,0,0,0,0,20,8,0.002594875,0.001346801,8
21,0,0,0,0,21,13,0.005480607,0.002188552,0,0,0,0,0,0,0,0,13
22,0,0,0,0,22,10,0.004215852,0.001683502,0,0,0,0,22,5,0.001621797,0.000841751,15
23,0,0,0,0,0,0,0,0,0,0,0,0,23,7,0.002270516,0.001178451,7
24,0,0,0,0,24,12,0.005059022,0.002020202,0,0,0,0,0,0,0,0,12
25,0,0,0,0,25,35,0.014755481,0.005892256,0,0,0,0,25,2,0.000648719,0.0003367,37
26,0,0,0,0,26,3,0.001264755,0.000505051,0,0,0,0,0,0,0,0,3
27,0,0,0,0,27,8,0.003372681,0.001346801,0,0,0,0,0,0,0,0,8
28,0,0,0,0,28,18,0.007588533,0.003030303,28,51,0.451327434,0.008585859,28,1780,0.577359715,0.2996633,1849
29,0,0,0,0,29,4,0.001686341,0.000673401,0,0,0,0,29,101,0.032760298,0.017003367,105
30,0,0,0,0,0,0,0,0,0,0,0,0,30,5,0.001621797,0.000841751,5
31,0,0,0,0,31,29,0.01222597,0.004882155,0,0,0,0,31,17,0.00551411,0.002861953,46
32,0,0,0,0,32,4,0.001686341,0.000673401,0,0,0,0,32,10,0.003243594,0.001683502,14
33,0,0,0,0,33,2,0.00084317,0.0003367,33,2,0.017699115,0.0003367,33,57,0.018488485,0.00959596,61
34,0,0,0,0,34,44,0.018549747,0.007407407,0,0,0,0,0,0,0,0,44
35,0,0,0,0,35,318,0.134064081,0.053535354,0,0,0,0,35,29,0.009406422,0.004882155,347
36,0,0,0,0,0,0,0,0,0,0,0,0,36,58,0.018812845,0.00976431,58
37,0,0,0,0,0,0,0,0,0,0,0,0,37,31,0.010055141,0.005218855,31
38,0,0,0,0,0,0,0,0,38,2,0.017699115,0.0003367,38,104,0.033733377,0.017508418,106
39,0,0,0,0,0,0,0,0,39,4,0.03539823,0.000673401,39,126,0.040869283,0.021212121,130
40,0,0,0,0,0,0,0,0,0,0,0,0,40,46,0.014920532,0.007744108,46
41,0,0,0,0,0,0,0,0,0,0,0,0,41,4,0.001297438,0.000673401,4
42,0,0,0,0,0,0,0,0,42,2,0.017699115,0.0003367,42,23,0.007460266,0.003872054,25
43,0,0,0,0,0,0,0,0,43,1,0.008849558,0.00016835,43,4,0.001297438,0.000673401,5
