Filename,Source,Start_DateTime_GMT,End_DateTime_GMT,EncounterCount,EncounterNumber,SamplingRate,NumChannels,EncounterID,CruiseID,DataProvider,KnownSpecies,GeographicLocation,ClassifiedSpecies,FREQMAX,FREQMIN,DURATION,FREQBEG,FREQEND,FREQRANGE,DCMEAN,DCSTDDEV,FREQMEAN,FREQSTDDEV,FREQMEDIAN,FREQCENTER,FREQRELBW,FREQMAXMINRATIO,FREQBEGENDRATIO,FREQQUARTER1,FREQQUARTER2,FREQQUARTER3,FREQSPREAD,DCQUARTER1MEAN,DCQUARTER2MEAN,DCQUARTER3MEAN,DCQUARTER4MEAN,FREQCOFM,FREQSTEPUP,FREQSTEPDOWN,FREQNUMSTEPS,FREQSLOPEMEAN,FREQABSSLOPEMEAN,FREQPOSSLOPEMEAN,FREQNEGSLOPEMEAN,FREQSLOPERATIO,FREQBEGSWEEP,FREQBEGUP,FREQBEGDWN,FREQENDSWEEP,FREQENDUP,FREQENDDWN,NUMSWEEPSUPDWN,NUMSWEEPSDWNUP,NUMSWEEPSUPFLAT,NUMSWEEPSDWNFLAT,NUMSWEEPSFLATUP,NUMSWEEPSFLATDWN,FREQSWEEPUPPERCENT,FREQSWEEPDWNPERCENT,FREQSWEEPFLATPERCENT,NUMINFLECTIONS,INFLMAXDELTA,INFLMINDELTA,INFLMAXMINDELTA,INFLMEANDELTA,INFLSTDDEVDELTA,INFLMEDIANDELTA,INFLDUR,STEPDUR,FREQPEAK,BW3DB,BW3DBLOW,BW3DBHIGH,BW10DB,BW10DBLOW,BW10DBHIGH,RMSSIGNAL,RMSNOISE,SNR,NCROSSINGS,SWEEPRATE,MEANTIMEZC,MEDIANTIMEZC,VARIANCETIMEZC,WHALETRAIN,CLICKTYPE,ICI,OFFLINEEVENTID,Lat,Long,Classifier,Species1,Species2,Species3,Species4,Species5,Species6,Species7,Species8,Species9,Species10,Species11,Species12,Species_List,
sel.18.ch02.241001.152428.82.C.9.F.wav,C:\Users\kepar\Desktop\ToTrace\trace_27\Encounter1-sel-Channel0-20241001_152428.wav,24:28.0,24:28.6,1,9,95703,null,null,null,null,null,null,Ambig,8504.856445,7757.176758,0.54,7757.176758,8504.856445,747.6796875,0.747857737,0.132957335,8215.313821,151.3923435,8177.746582,8131.016602,0.091954023,1.096385542,0.912087912,8131.016602,8131.016602,8317.936523,186.9199219,0.793303838,0.738746477,0.747547499,0.710379742,0.16822793,0,0,0,1520.211529,10526.91403,19625.15616,-17493.78756,-1.121835743,2,1,0,2,1,0,13,13,6,4,5,5,44.95412844,40.36697248,14.67889908,33,0.054,0.005,10.8,0.01553125,0.011875658,0.011,61.11111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HIWhist.model,0,0,0.073333333,0.328,0.021333333,0,0.08,0.282666667,0.18,0.016,0.018666667,0,(Fa-Gg-Gm-Pc-Pe-Pm-Sa-Sb-Sc-Sl-Tt-Zc-),
sel.694.ch02.241003.150123.00.C.360.F.wav,C:\Users\kepar\Desktop\ToTrace\trace_27\Encounter2-sel-Channel0-20241003_150102.wav,01:02.1,01:02.5,2,360,95703,null,null,null,null,null,null,Ambig,8691.776367,8131.016602,0.46,8224.476563,8504.856445,560.7597656,0.743231519,0.136092512,8309.342504,145.0904049,8317.936523,8411.396484,0.066666667,1.068965517,0.967032967,8131.016602,8224.476563,8317.936523,186.9199219,0.789541153,0.688760286,0.733409717,0.762071274,0.21495791,0,0,0,794.3579183,10036.85461,20249.6582,-18925.11227,-1.069988802,2,1,0,0,0,1,9,7,6,7,7,6,43.1372549,42.15686275,14.70588235,27,0.054,0.005,10.8,0.016884615,0.011751857,0.0135,58.69565217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HIWhist.model,0,0,0.066666667,0.278666667,0.044,0,0.04,0.34,0.172,0.028,0.030666667,0,(Fa-Gg-Gm-Pc-Pe-Pm-Sa-Sb-Sc-Sl-Tt-Zc-),
sel.696.ch02.241003.150123.84.C.361.F.wav,C:\Users\kepar\Desktop\ToTrace\trace_27\Encounter3-sel-Channel0-20241003_150102.wav,01:02.0,01:02.5,3,361,95703,null,null,null,null,null,null,Ambig,8785.236328,8037.556641,0.524,8037.556641,8598.316406,747.6796875,0.722316618,0.151161864,8383.075284,139.0437379,8317.936523,8411.396484,0.088888889,1.093023256,0.934782609,8224.476563,8317.936523,8504.856445,186.9199219,0.69605639,0.671966336,0.791591065,0.729958351,0.242995898,0,0,0,1305.623847,11541.71481,22482.84264,-18576.60952,-1.210276968,2,1,0,0,0,1,10,10,5,4,4,5,41.44144144,42.34234234,16.21621622,29,0.048,0.005,9.6,0.017571429,0.011416131,0.016,55.34351145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HIWhist.model,0,0,0.070666667,0.309333333,0.042666667,0,0.029333333,0.309333333,0.18,0.021333333,0.037333333,0,(Fa-Gg-Gm-Pc-Pe-Pm-Sa-Sb-Sc-Sl-Tt-Zc-),
sel.698.ch02.241003.150125.26.C.362.F.wav,C:\Users\kepar\Desktop\ToTrace\trace_27\Encounter4-sel-Channel0-20241003_150102.wav,01:02.1,01:02.5,4,362,95703,null,null,null,null,null,null,Ambig,8785.236328,7944.09668,0.39,7944.09668,8785.236328,841.1396484,0.501172983,0.233270849,8252.261956,152.1455134,8224.476563,8364.666504,0.100558659,1.105882353,0.904255319,8131.016602,8131.016602,8131.016602,186.9199219,0.480663134,0.394727013,0.424078677,0.712276208,0.205611914,0,0,0,1771.044922,14787.1582,21584.8005,-19795.33895,-1.090398126,2,1,0,2,1,0,8,6,1,5,2,4,45.61403509,42.10526316,12.28070175,17,0.065,0.005,13,0.0220625,0.015468112,0.021,43.58974359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HIWhist.model,0,0,0.072,0.34,0.065333333,0,0.065333333,0.156,0.217333333,0.042666667,0.041333333,0,(Fa-Gg-Gm-Pc-Pe-Pm-Sa-Sb-Sc-Sl-Tt-Zc-),
sel.1002.ch02.241003.150718.37.C.514.F.wav,C:\Users\kepar\Desktop\ToTrace\trace_27\Encounter5-sel-Channel0-20241107_180242.wav,02:42.1,02:42.5,5,514,95703,null,null,null,null,null,null,Ambig,8598.316406,7663.716797,0.428,7663.716797,8598.316406,934.5996094,0.694579094,0.186604039,8256.783709,137.9607163,8224.476563,8131.016602,0.114942529,1.12195122,0.891304348,8224.476563,8224.476563,8224.476563,93.45996094,0.548263914,0.663012869,0.812294654,0.762060698,0.158881934,0,0,0,2386.56686,12667.16256,22301.82137,-18691.99219,-1.193121693,2,1,0,1,0,0,12,9,2,2,4,0,45,38.75,16.25,23,0.06,0.005,12,0.018,0.013842653,0.016,53.73831776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HIWhist.model,0,0,0.089333333,0.377333333,0.029333333,0,0.070666667,0.158666667,0.213333333,0.045333333,0.016,0,(Fa-Gg-Gm-Pc-Pe-Pm-Sa-Sb-Sc-Sl-Tt-Zc-),
sel.1024.ch02.241003.150726.63.C.525.F.wav,C:\Users\kepar\Desktop\ToTrace\trace_27\Encounter6-sel-Channel0-20241107_180333.wav,03:34.0,03:34.4,6,525,95703,null,null,null,null,null,null,Ambig,8878.696289,8037.556641,0.483,8131.016602,8598.316406,841.1396484,0.716718721,0.170034087,8303.558068,185.8384089,8224.476563,8458.126465,0.099447514,1.104651163,0.945652174,8131.016602,8131.016602,8224.476563,280.3798828,0.593074343,0.681443656,0.862173435,0.730795482,0.21495791,0,0,0,1204.100555,12765.44387,21676.87928,-19268.90553,-1.124966815,2,1,0,1,0,0,11,10,3,2,3,2,43.82022472,41.57303371,14.60674157,25,0.053,0.005,10.6,0.019208333,0.014098964,0.0115,51.75983437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HIWhist.model,0,0,0.098666667,0.286666667,0.050666667,0,0.050666667,0.208,0.212,0.038666667,0.054666667,0,(Fa-Gg-Gm-Pc-Pe-Pm-Sa-Sb-Sc-Sl-Tt-Zc-),
sel.1032.ch02.241003.150731.83.C.529.F.wav,C:\Users\kepar\Desktop\ToTrace\trace_27\Encounter7-sel-Channel0-20241107_180415.wav,04:15.2,04:15.7,7,529,95703,null,null,null,null,null,null,Ambig,8691.776367,8037.556641,0.497,8131.016602,8598.316406,654.2197266,0.709671014,0.195153451,8349.75268,192.1494602,8317.936523,8364.666504,0.078212291,1.081395349,0.945652174,8131.016602,8131.016602,8504.856445,280.3798828,0.56596638,0.693436065,0.835339894,0.750895613,0.21495791,0,0,0,1098.262214,11616.69509,21115.91124,-18811.81265,-1.122481477,2,1,0,0,0,1,9,10,5,4,3,6,42,42,16,25,0.059,0.005,11.8,0.018958333,0.014525777,0.011,50.30181087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HIWhist.model,0,0,0.066666667,0.269333333,0.049333333,0,0.042666667,0.316,0.186666667,0.029333333,0.04,0,(Fa-Gg-Gm-Pc-Pe-Pm-Sa-Sb-Sc-Sl-Tt-Zc-),
sel.1143.ch02.230221.175202.53.C.381.1141.F.wav,C:\Users\kepar\Desktop\ToTrace\trace_27\Encounter8-sel-Channel0-20241107_180509.wav,05:09.4,05:09.9,8,1141,95703,null,null,null,null,null,null,Pc,6542.197266,5794.517578,0.503,5794.517578,6355.277344,747.6796875,0.783527545,0.193737387,6322.812305,109.7130582,6355.277344,6168.357422,0.121212121,1.129032258,0.911764706,6168.357422,6261.817383,6355.277344,93.45996094,0.686987009,0.678825229,0.768990417,1.008689262,0.149535938,0,0,0,944.5421584,11237.44768,22902.1409,-17917.27999,-1.278215271,2,1,0,1,0,0,11,9,2,6,3,5,38.67924528,43.39622642,17.9245283,25,0.064,0.005,12.8,0.017375,0.015026969,0.0115,49.70178926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HIWhist.model,0,0,0.073333333,0.510666667,0.06,0,0.006666667,0.229333333,0.06,0.026666667,0.033333333,0,(Fa-Gg-Gm-Pc-Pe-Pm-Sa-Sb-Sc-Sl-Tt-Zc-),
sel.1303.ch02.241003.151004.16.C.666.F.wav,C:\Users\kepar\Desktop\ToTrace\trace_27\Encounter9-sel-Channel0-20241107_180553.wav,05:53.6,05:54.1,9,666,95703,null,null,null,null,null,null,Ambig,11028.27539,10093.67578,0.53,10374.05566,10374.05566,934.5996094,0.713634621,0.189987788,10283.3995,188.0751611,10280.5957,10560.97559,0.088495575,1.092592593,1,10187.13574,10280.5957,10280.5957,93.45996094,0.645724083,0.757460317,0.71041217,0.744909324,0.205611914,0,0,0,96.65171526,13016.51356,20938.76391,-19379.79277,-1.080443127,2,1,0,0,0,1,13,11,2,4,3,3,41.11111111,46.66666667,12.22222222,29,0.064,0.005,12.8,0.017964286,0.015633492,0.011,54.71698113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HIWhist.model,0,0,0.084,0.149333333,0.045333333,0,0.069333333,0.078666667,0.258666667,0.106666667,0.208,0,(Fa-Gg-Gm-Pc-Pe-Pm-Sa-Sb-Sc-Sl-Tt-Zc-),
sel.1319.ch02.241003.151012.84.C.673.F.wav,C:\Users\kepar\Desktop\ToTrace\trace_27\Encounter10-sel-Channel0-20241107_180624.wav,06:24.1,06:24.6,10,673,95703,null,null,null,null,null,null,Ambig,8878.696289,8037.556641,0.498,8037.556641,8598.316406,841.1396484,0.620161488,0.202690585,8349.75268,194.0948032,8317.936523,8458.126465,0.099447514,1.104651163,0.934782609,8224.476563,8131.016602,8317.936523,280.3798828,0.613051655,0.587967522,0.708064208,0.573271426,0.224303906,0,0,0,1220.291349,10269.58915,21371.17773,-18295.31948,-1.168122686,2,1,0,0,0,1,9,8,6,5,6,5,42.5,40,17.5,27,0.048,0.005,9.6,0.017269231,0.011290909,0.0115,54.21686747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HIWhist.model,0,0,0.076,0.3,0.028,0,0.033333333,0.348,0.158666667,0.028,0.028,0,(Fa-Gg-Gm-Pc-Pe-Pm-Sa-Sb-Sc-Sl-Tt-Zc-),
