Filename,Source,Start_DateTime_GMT,End_DateTime_GMT,EncounterCount,EncounterNumber,SamplingRate,NumChannels,EncounterID,CruiseID,DataProvider,KnownSpecies,GeographicLocation,ClassifiedSpecies,FREQMAX,FREQMIN,DURATION,FREQBEG,FREQEND,FREQRANGE,DCMEAN,DCSTDDEV,FREQMEAN,FREQSTDDEV,FREQMEDIAN,FREQCENTER,FREQRELBW,FREQMAXMINRATIO,FREQBEGENDRATIO,FREQQUARTER1,FREQQUARTER2,FREQQUARTER3,FREQSPREAD,DCQUARTER1MEAN,DCQUARTER2MEAN,DCQUARTER3MEAN,DCQUARTER4MEAN,FREQCOFM,FREQSTEPUP,FREQSTEPDOWN,FREQNUMSTEPS,FREQSLOPEMEAN,FREQABSSLOPEMEAN,FREQPOSSLOPEMEAN,FREQNEGSLOPEMEAN,FREQSLOPERATIO,FREQBEGSWEEP,FREQBEGUP,FREQBEGDWN,FREQENDSWEEP,FREQENDUP,FREQENDDWN,NUMSWEEPSUPDWN,NUMSWEEPSDWNUP,NUMSWEEPSUPFLAT,NUMSWEEPSDWNFLAT,NUMSWEEPSFLATUP,NUMSWEEPSFLATDWN,FREQSWEEPUPPERCENT,FREQSWEEPDWNPERCENT,FREQSWEEPFLATPERCENT,NUMINFLECTIONS,INFLMAXDELTA,INFLMINDELTA,INFLMAXMINDELTA,INFLMEANDELTA,INFLSTDDEVDELTA,INFLMEDIANDELTA,INFLDUR,STEPDUR,FREQPEAK,BW3DB,BW3DBLOW,BW3DBHIGH,BW10DB,BW10DBLOW,BW10DBHIGH,RMSSIGNAL,RMSNOISE,SNR,NCROSSINGS,SWEEPRATE,MEANTIMEZC,MEDIANTIMEZC,VARIANCETIMEZC,WHALETRAIN,CLICKTYPE,ICI,OFFLINEEVENTID,Lat,Long,Classifier,Species1,Species2,Species3,Species4,Species5,Species6,Species7,Species8,Species9,Species10,Species11,Species12,Species_List
sel.1864.ch02.241003.160131.56.C.932.F.wav,C:\Users\kepar\Desktop\ToTrace\trace_subsample21\Encounter41-sel-Channel0-20241109_185043.wav,50:43.1,50:43.2,41,932,95703,null,null,null,null,null,null,Sc,8224.476563,7476.796875,0.068,7476.796875,7944.09668,747.6796875,0.591181674,0.096513437,7890.690988,276.067416,7944.09668,7850.636719,0.095238095,1.1,0.941176471,7570.256836,7944.09668,8224.476563,514.0297852,0.507312652,0.531333854,0.657944071,0.716041733,0.056075977,0,0,0,7309.048227,15936.12154,21584.8005,-28037.98828,-0.76984127,2,1,0,1,0,0,1,0,0,0,0,0,83.33333333,16.66666667,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HIWhist.model,0,0,0.097333333,0.22,0.025333333,0,0.053333333,0.030666667,0.438666667,0.126666667,0.008,0,(Fa-Gg-Gm-Pc-Pe-Pm-Sa-Sb-Sc-Sl-Tt-Zc-)
sel.1872.ch02.241003.160134.71.C.936.F.wav,C:\Users\kepar\Desktop\ToTrace\trace_subsample21\Encounter42-sel-Channel0-20241109_185135.wav,51:35.1,51:35.2,42,936,95703,null,null,null,null,null,null,Ambig,7850.636719,7009.49707,0.095,7009.49707,7757.176758,841.1396484,0.582247143,0.092089304,7565.337891,240.2518617,7476.796875,7430.066895,0.113207547,1.12,0.903614458,7476.796875,7383.336914,7850.636719,420.5698242,0.464609772,0.670295677,0.596650171,0.601229404,0.065421973,0,0,0,7961.40408,12115.18012,25812.75112,-18691.99219,-1.380952381,2,1,0,1,0,0,0,0,2,1,1,2,48.27586207,31.03448276,20.68965517,3,0.043,0.016,2.6875,0.0295,0.019091883,0.0295,31.57894737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HIWhist.model,0,0,0.090666667,0.341333333,0.029333333,0,0.026666667,0.218666667,0.182666667,0.088,0.022666667,0,(Fa-Gg-Gm-Pc-Pe-Pm-Sa-Sb-Sc-Sl-Tt-Zc-)
sel.1876.ch02.241003.160135.06.C.938.F.wav,C:\Users\kepar\Desktop\ToTrace\trace_subsample21\Encounter44-sel-Channel0-20241109_185301.wav,53:01.7,53:01.9,44,938,95703,null,null,null,null,null,null,Ambig,8598.316406,8224.476563,0.122,8317.936523,8317.936523,373.8398438,0.705641079,0.143372339,8352.984009,94.72128601,8317.936523,8411.396484,0.044444444,1.045454545,1,8317.936523,8411.396484,8598.316406,93.45996094,0.527703322,0.781539036,0.775431166,0.779928287,0.037383984,0,0,0,0,9481.445313,21807.32422,-18172.77018,-1.2,0,0,1,1,0,0,2,1,1,3,2,2,37.5,43.75,18.75,6,0.022,0.01,2.2,0.0148,0.00501996,0.016,49.18032787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HIWhist.model,0,0,0.085333333,0.209333333,0.096,0,0.021333333,0.341333333,0.182666667,0.018666667,0.045333333,0,(Fa-Gg-Gm-Pc-Pe-Pm-Sa-Sb-Sc-Sl-Tt-Zc-)
sel.1886.ch02.241003.160139.30.C.943.F.wav,C:\Users\kepar\Desktop\ToTrace\trace_subsample21\Encounter45-sel-Channel0-20241109_185350.wav,53:50.7,53:50.8,45,943,95703,null,null,null,null,null,null,Ambig,7850.636719,7570.256836,0.085,7663.716797,7570.256836,280.3798828,0.657120791,0.039782523,7762.674403,96.16950641,7757.176758,7710.446777,0.036363636,1.037037037,1.012345679,7757.176758,7850.636719,7850.636719,93.45996094,0.624036846,0.657635896,0.675955821,0.679125587,0.037383984,0,0,0,-1070.895386,12169.26575,17757.39258,-21184.25781,-0.838235294,2,1,0,0,0,1,0,1,2,0,1,1,44.44444444,33.33333333,22.22222222,2,0.063,0.063,1,0.063,0,0.063,23.52941176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HIWhist.model,0,0,0.108,0.312,0.133333333,0,0.066666667,0.192,0.128,0.009333333,0.050666667,0,(Fa-Gg-Gm-Pc-Pe-Pm-Sa-Sb-Sc-Sl-Tt-Zc-)
sel.1888.ch02.241003.160139.47.C.944.F.wav,C:\Users\kepar\Desktop\ToTrace\trace_subsample21\Encounter46-sel-Channel0-20241109_185437.wav,54:37.3,54:37.4,46,944,95703,null,null,null,null,null,null,Ambig,7944.09668,7476.796875,0.101,7476.796875,7663.716797,467.2998047,0.605145483,0.110068592,7771.195752,149.3975281,7850.636719,7710.446777,0.060606061,1.0625,0.975609756,7663.716797,7850.636719,7850.636719,186.9199219,0.46155205,0.627756845,0.671675676,0.70910869,0.04672998,0,0,0,1065.771484,13363.13477,19582.08705,-23364.99023,-0.838095238,2,1,0,0,0,1,2,1,0,0,0,0,69.23076923,30.76923077,0,3,0.022,0.005,4.4,0.0135,0.012020815,0.0135,29.7029703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HIWhist.model,0,0,0.108,0.322666667,0.112,0,0.054666667,0.134666667,0.213333333,0.036,0.018666667,0,(Fa-Gg-Gm-Pc-Pe-Pm-Sa-Sb-Sc-Sl-Tt-Zc-)
sel.1890.ch02.241003.160139.64.C.945.F.wav,C:\Users\kepar\Desktop\ToTrace\trace_subsample21\Encounter47-sel-Channel0-20241109_185655.wav,56:55.9,56:56.0,47,945,95703,null,null,null,null,null,null,Ambig,8037.556641,7476.796875,0.074,7476.796875,7850.636719,560.7597656,0.648434602,0.081964959,7856.867383,181.7298211,7850.636719,7757.176758,0.072289157,1.075,0.952380952,7757.176758,7944.09668,8037.556641,280.3798828,0.541528346,0.65250443,0.707019071,0.707437212,0.028037988,0,0,0,5674.354771,10124.8291,18432.38118,-31153.32031,-0.591666667,2,1,0,1,0,0,0,0,1,0,0,1,63.15789474,21.05263158,15.78947368,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HIWhist.model,0,0,0.24,0.188,0.036,0,0.138666667,0.068,0.257333333,0.044,0.028,0,(Fa-Gg-Gm-Pc-Pe-Pm-Sa-Sb-Sc-Sl-Tt-Zc-)
sel.1892.ch02.241003.160139.81.C.946.F.wav,C:\Users\kepar\Desktop\ToTrace\trace_subsample21\Encounter48-sel-Channel0-20241109_185734.wav,57:34.9,57:35.0,48,946,95703,null,null,null,null,null,null,Ambig,8224.476563,7196.416992,0.101,7196.416992,7476.796875,1028.05957,0.636788835,0.14219613,7780.541748,313.4742387,7850.636719,7710.446777,0.133333333,1.142857143,0.9625,7570.256836,7850.636719,8131.016602,490.6647949,0.460213618,0.649367957,0.783921613,0.702011788,0.112151953,0,0,0,2295.507813,17052.34375,22975.57373,-28037.98828,-0.819444444,2,1,0,0,0,1,1,0,1,0,1,0,63.15789474,31.57894737,5.263157895,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HIWhist.model,0,0,0.117333333,0.312,0.042666667,0,0.026666667,0.113333333,0.305333333,0.066666667,0.016,0,(Fa-Gg-Gm-Pc-Pe-Pm-Sa-Sb-Sc-Sl-Tt-Zc-)
sel.1902.ch02.241003.160144.93.C.951.F.wav,C:\Users\kepar\Desktop\ToTrace\trace_subsample21\Encounter49-sel-Channel0-20241109_185820.wav,58:20.0,58:20.1,49,951,95703,null,null,null,null,null,null,Ambig,8037.556641,7009.49707,0.09,7009.49707,7570.256836,1028.05957,0.616120714,0.080748781,7720.831217,317.5679757,7850.636719,7523.526855,0.136645963,1.146666667,0.925925926,7663.716797,7944.09668,7944.09668,350.4748535,0.536810755,0.654131204,0.675178976,0.60868679,0.084113965,0,0,0,6047.409237,16676.18911,27592.94085,-22586.15723,-1.221674877,2,1,0,0,0,1,0,0,1,0,0,1,55,35,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HIWhist.model,0,0,0.08,0.328,0.038666667,0,0.028,0.145333333,0.289333333,0.086666667,0.004,0,(Fa-Gg-Gm-Pc-Pe-Pm-Sa-Sb-Sc-Sl-Tt-Zc-)
sel.1906.ch02.241003.160146.43.C.953.F.wav,C:\Users\kepar\Desktop\ToTrace\trace_subsample21\Encounter50-sel-Channel0-20241109_185955.wav,59:55.0,59:55.1,50,953,95703,null,null,null,null,null,null,Sc,8504.856445,6542.197266,0.086,6542.197266,8131.016602,1962.65918,0.850323722,0.20144984,7790.162626,607.4368818,7944.09668,7523.526855,0.260869565,1.3,0.804597701,7196.416992,7944.09668,8317.936523,934.5996094,0.941980419,0.988393343,0.78169547,0.666311481,0.112151953,0,0,0,18886.70044,27453.86353,28517.27013,-34268.65234,-0.832167832,2,1,0,1,0,0,1,0,0,0,0,0,92.85714286,7.142857143,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HIWhist.model,0,0,0.056,0.216,0.062666667,0,0.034666667,0.12,0.428,0.052,0.030666667,0,(Fa-Gg-Gm-Pc-Pe-Pm-Sa-Sb-Sc-Sl-Tt-Zc-)
sel.1908.ch02.241003.160146.67.C.954.F.wav,C:\Users\kepar\Desktop\ToTrace\trace_subsample21\Encounter51-sel-Channel0-20241109_190031.wav,00:31.5,00:31.6,51,954,95703,null,null,null,null,null,null,Sc,8224.476563,7009.49707,0.09,7009.49707,7850.636719,1214.979492,0.566806479,0.138533359,7798.714518,415.7744667,7897.366699,7616.986816,0.159509202,1.173333333,0.892857143,7383.336914,7944.09668,8224.476563,724.3146973,0.397188932,0.624142612,0.609756512,0.664208215,0.084113965,0,0,0,9804.133157,19333.38408,24766.88965,-26999.54427,-0.917307692,2,1,0,0,0,1,0,0,1,0,0,1,75,18.75,6.25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HIWhist.model,0,0,0.06,0.229333333,0.056,0,0.009333333,0.061333333,0.458666667,0.121333333,0.004,0,(Fa-Gg-Gm-Pc-Pe-Pm-Sa-Sb-Sc-Sl-Tt-Zc-)
