Filename,Source,Start_DateTime_GMT,End_DateTime_GMT,EncounterCount,EncounterNumber,SamplingRate,NumChannels,EncounterID,CruiseID,DataProvider,KnownSpecies,GeographicLocation,ClassifiedSpecies,FREQMAX,FREQMIN,DURATION,FREQBEG,FREQEND,FREQRANGE,DCMEAN,DCSTDDEV,FREQMEAN,FREQSTDDEV,FREQMEDIAN,FREQCENTER,FREQRELBW,FREQMAXMINRATIO,FREQBEGENDRATIO,FREQQUARTER1,FREQQUARTER2,FREQQUARTER3,FREQSPREAD,DCQUARTER1MEAN,DCQUARTER2MEAN,DCQUARTER3MEAN,DCQUARTER4MEAN,FREQCOFM,FREQSTEPUP,FREQSTEPDOWN,FREQNUMSTEPS,FREQSLOPEMEAN,FREQABSSLOPEMEAN,FREQPOSSLOPEMEAN,FREQNEGSLOPEMEAN,FREQSLOPERATIO,FREQBEGSWEEP,FREQBEGUP,FREQBEGDWN,FREQENDSWEEP,FREQENDUP,FREQENDDWN,NUMSWEEPSUPDWN,NUMSWEEPSDWNUP,NUMSWEEPSUPFLAT,NUMSWEEPSDWNFLAT,NUMSWEEPSFLATUP,NUMSWEEPSFLATDWN,FREQSWEEPUPPERCENT,FREQSWEEPDWNPERCENT,FREQSWEEPFLATPERCENT,NUMINFLECTIONS,INFLMAXDELTA,INFLMINDELTA,INFLMAXMINDELTA,INFLMEANDELTA,INFLSTDDEVDELTA,INFLMEDIANDELTA,INFLDUR,STEPDUR,FREQPEAK,BW3DB,BW3DBLOW,BW3DBHIGH,BW10DB,BW10DBLOW,BW10DBHIGH,RMSSIGNAL,RMSNOISE,SNR,NCROSSINGS,SWEEPRATE,MEANTIMEZC,MEDIANTIMEZC,VARIANCETIMEZC,WHALETRAIN,CLICKTYPE,ICI,OFFLINEEVENTID,Lat,Long,Classifier,Species1,Species2,Species3,Species4,Species5,Species6,Species7,Species8,Species9,Species10,Species11,Species12,Species_List,
sel.82.ch02.241003.145012.05.C.52.F.wav,C:\Users\kepar\Desktop\ToTrace\trace_19\Encounter1-sel-Channel0-20241003_145012.wav,50:12.1,50:12.3,1,52a,95703,null,null,null,null,null,null,Pc,7196.416992,6168.357422,0.214,6355.277344,7196.416992,1028.05957,0.602141865,0.167988959,6403.14708,185.8913116,6355.277344,6682.387207,0.153846154,1.166666667,0.883116883,6355.277344,6355.277344,6542.197266,186.9199219,0.399121899,0.575964153,0.702654527,0.751128879,0.112151953,0,0,0,3315.603376,11415.46666,24551.78339,-20249.6582,-1.212454212,0,0,1,2,1,0,7,6,1,2,2,1,46.15384615,38.46153846,15.38461538,14,0.053,0.004,13.25,0.015230769,0.012564194,0.011,65.42056075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HIWhist.model,0,0,0.08,0.601333333,0.041333333,0,0.014666667,0.113333333,0.085333333,0.048,0.016,0,(Fa-Gg-Gm-Pc-Pe-Pm-Sa-Sb-Sc-Sl-Tt-Zc-),
sel.88.ch02.241003.145016.42.C.55.F.wav,C:\Users\kepar\Desktop\ToTrace\trace_19\Encounter3-sel-Channel0-20241003_145016.wav,50:16.1,50:16.3,3,55a,95703,null,null,null,null,null,null,Pc,6916.037109,6168.357422,0.235,6355.277344,6916.037109,747.6796875,0.48279897,0.150311287,6376.046224,193.0729154,6355.277344,6542.197266,0.114285714,1.121212121,0.918918919,6261.817383,6168.357422,6542.197266,186.9199219,0.530222227,0.553052616,0.472234653,0.371375178,0.112151953,0,0,0,2478.105025,15930.67516,22499.62023,-19730.4362,-1.140350877,0,0,1,0,0,1,6,6,1,0,1,0,55.55555556,40.74074074,3.703703704,12,0.042,0.005,8.4,0.018,0.012024974,0.012,51.06382979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HIWhist.model,0,0,0.046666667,0.578666667,0.061333333,0,0.02,0.088,0.129333333,0.053333333,0.022666667,0,(Fa-Gg-Gm-Pc-Pe-Pm-Sa-Sb-Sc-Sl-Tt-Zc-),
sel.131.ch02.241003.154628.90.C.131.F.wav,C:\Users\kepar\Desktop\ToTrace\trace_19\Encounter5-sel-Channel0-20241003_154602.wav,46:02.1,46:02.4,5,131a,95703,null,null,null,null,null,null,Pc,7009.49707,6542.197266,0.289,6635.657227,7009.49707,467.2998047,0.445501555,0.130005202,6684.936115,103.095912,6729.117188,6775.847168,0.068965517,1.071428571,0.946666667,6542.197266,6729.117188,6729.117188,93.45996094,0.485639098,0.452012481,0.411486279,0.431896579,0.121497949,0,0,0,1170.309917,9016.331329,18335.95424,-17653.54818,-1.038655462,0,0,1,1,0,0,5,4,3,3,4,2,41.66666667,36.11111111,22.22222222,14,0.049,0.004,12.25,0.021,0.015800844,0.016,48.44290657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HIWhist.model,0,0,0.06,0.593333333,0.074666667,0,0.016,0.176,0.024,0.025333333,0.030666667,0,(Fa-Gg-Gm-Pc-Pe-Pm-Sa-Sb-Sc-Sl-Tt-Zc-),
sel.146.ch02.241003.145106.61.C.86.F.wav,C:\Users\kepar\Desktop\ToTrace\trace_19\Encounter7-sel-Channel0-20241003_145100.wav,51:00.0,51:00.4,7,86a,95703,null,null,null,null,null,null,Pc,6448.737305,6168.357422,0.348,6355.277344,6448.737305,280.3798828,0.734314102,0.153325765,6243.408603,69.9768662,6261.817383,6308.547363,0.044444444,1.045454545,0.985507246,6261.817383,6168.357422,6168.357422,93.45996094,0.73532112,0.767028046,0.815125224,0.617674458,0.121497949,0,0,0,82.16260302,12187.45278,18988.69048,-19671.09654,-0.965309201,0,0,1,1,0,0,11,11,2,2,2,2,45.61403509,43.85964912,10.52631579,26,0.032,0.005,6.4,0.01304,0.007085666,0.011,74.71264368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HIWhist.model,0,0,0.064,0.486666667,0.097333333,0,0.016,0.193333333,0.062666667,0.042666667,0.037333333,0,(Fa-Gg-Gm-Pc-Pe-Pm-Sa-Sb-Sc-Sl-Tt-Zc-),
sel.154.ch02.241003.145113.15.C.90.F.wav,C:\Users\kepar\Desktop\ToTrace\trace_19\Encounter9-sel-Channel0-20241003_145101.wav,51:01.0,51:01.3,9,90a,95703,null,null,null,null,null,null,Ambig,9252.536133,8691.776367,0.263,8878.696289,9252.536133,560.7597656,0.519092282,0.131253963,8964.679453,103.1435233,8972.15625,8972.15625,0.0625,1.064516129,0.95959596,8878.696289,8972.15625,8878.696289,93.45996094,0.496484058,0.586881985,0.442229409,0.547008554,0.102805957,0,0,0,1907.346142,11316.92044,21599.63542,-17733.42849,-1.218018018,0,0,1,2,1,0,5,5,2,2,2,2,43.39622642,39.62264151,16.98113208,12,0.054,0.005,10.8,0.021909091,0.016476981,0.016,45.62737643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HIWhist.model,0,0,0.077333333,0.208,0.073333333,0,0.048,0.290666667,0.193333333,0.053333333,0.056,0,(Fa-Gg-Gm-Pc-Pe-Pm-Sa-Sb-Sc-Sl-Tt-Zc-),
sel.164.ch02.241003.145120.39.C.95.F.wav,C:\Users\kepar\Desktop\ToTrace\trace_19\Encounter11-sel-Channel0-20241003_145102.wav,51:02.1,51:02.3,11,95a,95703,null,null,null,null,null,null,Sb,9159.076172,8785.236328,0.258,8878.696289,9159.076172,373.8398438,0.650296133,0.157150796,9016.025211,87.63593078,8972.15625,8972.15625,0.041666667,1.042553191,0.969387755,8972.15625,9159.076172,8878.696289,93.45996094,0.601125582,0.769681305,0.726635336,0.507839856,0.130843945,0,0,0,1168.249512,9216.190592,20768.88021,-19315.05859,-1.075268817,2,1,0,1,0,0,6,5,2,4,3,3,40,38.57142857,21.42857143,14,0.043,0.005,8.6,0.019,0.013044795,0.012,54.26356589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HIWhist.model,0,0,0.068,0.194666667,0.058666667,0,0.021333333,0.413333333,0.150666667,0.030666667,0.062666667,0,(Fa-Gg-Gm-Pc-Pe-Pm-Sa-Sb-Sc-Sl-Tt-Zc-),
sel.220.ch02.241003.145212.07.C.123.F.wav,C:\Users\kepar\Desktop\ToTrace\trace_19\Encounter15-sel-Channel0-20241003_145201.wav,52:01.0,52:01.2,15,123a,95703,null,null,null,null,null,null,Pc,6542.197266,6261.817383,0.192,6355.277344,6448.737305,280.3798828,0.645225994,0.180840143,6395.692462,68.04180614,6355.277344,6402.007324,0.04379562,1.044776119,0.985507246,6355.277344,6448.737305,6448.737305,93.45996094,0.549700934,0.575373177,0.745188021,0.721255738,0.04672998,0,0,0,432.6850043,10297.9031,17559.14418,-17757.39258,-0.988835726,1,0,0,2,1,0,4,6,3,0,1,2,45.71428571,40,14.28571429,12,0.043,0.005,8.6,0.015090909,0.010774549,0.011,62.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HIWhist.model,0,0,0.070666667,0.424,0.125333333,0,0.029333333,0.224,0.065333333,0.026666667,0.034666667,0,(Fa-Gg-Gm-Pc-Pe-Pm-Sa-Sb-Sc-Sl-Tt-Zc-),
sel.276.ch02.241003.145310.63.C.151.F.wav,C:\Users\kepar\Desktop\ToTrace\trace_19\Encounter17-sel-Channel0-20241003_145301.wav,53:01.1,53:01.5,17,151a,95703,null,null,null,null,null,null,Pc,6822.577148,6261.817383,0.422,6729.117188,6822.577148,560.7597656,0.640129335,0.158726176,6430.045313,114.6094082,6448.737305,6542.197266,0.085714286,1.089552239,0.98630137,6448.737305,6542.197266,6448.737305,93.45996094,0.62677521,0.765692925,0.58143386,0.584501667,0.205611914,0,0,0,219.7069606,14495.02589,21527.10917,-22555.00391,-0.954427198,0,0,1,2,1,0,10,8,3,3,5,1,46.37681159,39.13043478,14.49275362,22,0.054,0.005,10.8,0.019095238,0.012128086,0.016,52.13270142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HIWhist.model,0,0,0.054666667,0.452,0.125333333,0,0.017333333,0.176,0.056,0.064,0.054666667,0,(Fa-Gg-Gm-Pc-Pe-Pm-Sa-Sb-Sc-Sl-Tt-Zc-),
sel.360.ch02.241003.145443.79.C.193.F.wav,C:\Users\kepar\Desktop\ToTrace\trace_19\Encounter19-sel-Channel0-20241003_145404.wav,54:04.1,54:04.5,19,193a,95703,null,null,null,null,null,null,Pc,7289.876953,6261.817383,0.476,6448.737305,7289.876953,1028.05957,0.7757133,0.08453228,6447.698861,115.9506703,6448.737305,6775.847168,0.151724138,1.164179104,0.884615385,6448.737305,6355.277344,6542.197266,93.45996094,0.794751986,0.783418304,0.823556464,0.699910823,0.149535938,0,0,0,1582.66868,13608.95044,21125.84534,-19113.19779,-1.105301455,0,0,1,2,1,0,11,11,3,1,3,1,46.66666667,38.66666667,14.66666667,24,0.08,0.005,16,0.02026087,0.019162505,0.011,50.42016807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HIWhist.model,0,0,0.057333333,0.584,0.066666667,0,0.012,0.118666667,0.072,0.074666667,0.014666667,0,(Fa-Gg-Gm-Pc-Pe-Pm-Sa-Sb-Sc-Sl-Tt-Zc-),
sel.372.ch02.241003.145453.91.C.199.F.wav,C:\Users\kepar\Desktop\ToTrace\trace_19\Encounter21-sel-Channel0-20241003_145405.wav,54:05.0,54:05.4,21,199a,95703,null,null,null,null,null,null,Pc,6635.657227,6355.277344,0.407,6355.277344,6635.657227,280.3798828,0.677693516,0.081377695,6453.592368,74.11350385,6448.737305,6495.467285,0.043165468,1.044117647,0.957746479,6448.737305,6448.737305,6355.277344,186.9199219,0.653337403,0.634507043,0.664975624,0.759235896,0.140189941,0,0,0,849.1036551,7185.173689,19081.40869,-17197.90438,-1.109519409,2,1,0,2,1,0,7,6,4,4,4,4,40.33613445,36.97478992,22.68907563,21,0.059,0.005,11.8,0.0193,0.014502631,0.011,51.5970516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HIWhist.model,0,0,0.093333333,0.438666667,0.068,0,0.006666667,0.3,0.069333333,0.008,0.016,0,(Fa-Gg-Gm-Pc-Pe-Pm-Sa-Sb-Sc-Sl-Tt-Zc-),
