Filename,Source,Start_DateTime_GMT,End_DateTime_GMT,EncounterCount,EncounterNumber,SamplingRate,NumChannels,EncounterID,CruiseID,DataProvider,KnownSpecies,GeographicLocation,ClassifiedSpecies,FREQMAX,FREQMIN,DURATION,FREQBEG,FREQEND,FREQRANGE,DCMEAN,DCSTDDEV,FREQMEAN,FREQSTDDEV,FREQMEDIAN,FREQCENTER,FREQRELBW,FREQMAXMINRATIO,FREQBEGENDRATIO,FREQQUARTER1,FREQQUARTER2,FREQQUARTER3,FREQSPREAD,DCQUARTER1MEAN,DCQUARTER2MEAN,DCQUARTER3MEAN,DCQUARTER4MEAN,FREQCOFM,FREQSTEPUP,FREQSTEPDOWN,FREQNUMSTEPS,FREQSLOPEMEAN,FREQABSSLOPEMEAN,FREQPOSSLOPEMEAN,FREQNEGSLOPEMEAN,FREQSLOPERATIO,FREQBEGSWEEP,FREQBEGUP,FREQBEGDWN,FREQENDSWEEP,FREQENDUP,FREQENDDWN,NUMSWEEPSUPDWN,NUMSWEEPSDWNUP,NUMSWEEPSUPFLAT,NUMSWEEPSDWNFLAT,NUMSWEEPSFLATUP,NUMSWEEPSFLATDWN,FREQSWEEPUPPERCENT,FREQSWEEPDWNPERCENT,FREQSWEEPFLATPERCENT,NUMINFLECTIONS,INFLMAXDELTA,INFLMINDELTA,INFLMAXMINDELTA,INFLMEANDELTA,INFLSTDDEVDELTA,INFLMEDIANDELTA,INFLDUR,STEPDUR,FREQPEAK,BW3DB,BW3DBLOW,BW3DBHIGH,BW10DB,BW10DBLOW,BW10DBHIGH,RMSSIGNAL,RMSNOISE,SNR,NCROSSINGS,SWEEPRATE,MEANTIMEZC,MEDIANTIMEZC,VARIANCETIMEZC,WHALETRAIN,CLICKTYPE,ICI,OFFLINEEVENTID,Lat,Long,Classifier,Species1,Species2,Species3,Species4,Species5,Species6,Species7,Species8,Species9,Species10,Species11,Species12,Species_List
sel.208.ch02.241001.144614.91.C.107.F.wav,C:\Users\kepar\Desktop\trace_02082025\trace_13\Encounter9-sel-Channel0-20241001_144601.wav,46:01.0,46:01.4,9,107a,95703,null,null,null,null,null,null,Pc,7009.49707,5794.517578,0.331,5794.517578,7009.49707,1214.979492,0.756958708,0.091744585,6644.558175,280.7385626,6729.117188,6402.007324,0.189781022,1.209677419,0.826666667,6635.657227,6729.117188,6822.577148,186.9199219,0.79049802,0.792964546,0.747599456,0.692760416,0.112151953,0,0,0,3470.652159,10404.77829,20482.77829,-17913.15918,-1.143448684,2,1,0,2,1,0,6,4,3,2,5,1,46.83544304,31.64556962,21.51898734,13,0.081,0.004,20.25,0.021833333,0.022546249,0.014,39.27492447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HIWhist.model,0,0,0.085333333,0.709333333,0.032,0,0.010666667,0.082666667,0.052,0.016,0.012,0,(Fa-Gg-Gm-Pc-Pe-Pm-Sa-Sb-Sc-Sl-Tt-Zc-)
sel.216.ch02.241001.144637.92.C.115.F.wav,C:\Users\kepar\Desktop\trace_02082025\trace_13\Encounter12-sel-Channel0-20241001_144603.wav,46:03.1,46:03.4,12,115a,95703,null,null,null,null,null,null,Pc,7383.336914,5327.217773,0.385,5327.217773,7383.336914,2056.119141,0.734594957,0.079345118,6708.632813,318.5594857,6822.577148,6355.277344,0.323529412,1.385964912,0.721518987,6542.197266,6822.577148,6916.037109,280.3798828,0.768412635,0.708818672,0.674886898,0.784382863,0.186919922,0,0,0,5742.348129,14334.23607,24922.65625,-17183.77589,-1.450359712,2,1,0,2,1,0,10,8,3,2,4,1,53.84615385,33.84615385,12.30769231,21,0.048,0.005,9.6,0.0139,0.011584472,0.011,54.54545455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HIWhist.model,0,0,0.096,0.592,0.04,0,0.012,0.141333333,0.073333333,0.026666667,0.018666667,0,(Fa-Gg-Gm-Pc-Pe-Pm-Sa-Sb-Sc-Sl-Tt-Zc-)
sel.219.ch02.241001.144645.18.C.118.F.wav,C:\Users\kepar\Desktop\trace_02082025\trace_13\Encounter15-sel-Channel0-20241001_144604.wav,46:04.0,46:04.3,15,118a,95703,null,null,null,null,null,null,Pc,6916.037109,5420.677734,0.262,5420.677734,6729.117188,1495.359375,0.797886834,0.159458591,6566.496855,358.6590847,6729.117188,6168.357422,0.242424242,1.275862069,0.805555556,6542.197266,6822.577148,6729.117188,280.3798828,0.878994524,0.780550943,0.756539756,0.770147797,0.149535938,0,0,0,4881.897862,14291.47216,20423.8072,-19211.21419,-1.06311902,2,1,0,0,0,1,7,7,2,0,1,1,62.5,32.5,5,15,0.027,0.005,5.4,0.013,0.005392302,0.011,57.2519084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HIWhist.model,0,0,0.072,0.645333333,0.048,0,0.005333333,0.12,0.089333333,0.009333333,0.010666667,0,(Fa-Gg-Gm-Pc-Pe-Pm-Sa-Sb-Sc-Sl-Tt-Zc-)
sel.231.ch02.241001.144724.16.C.130.F.wav,C:\Users\kepar\Desktop\trace_02082025\trace_13\Encounter18-sel-Channel0-20241001_144702.wav,47:02.0,47:02.4,18,130a,95703,null,null,null,null,null,null,Pc,7196.416992,5607.597656,0.401,5607.597656,7196.416992,1588.819336,0.715069508,0.074507444,6763.549805,246.9617554,6822.577148,6402.007324,0.248175182,1.283333333,0.779220779,6822.577148,6916.037109,6822.577148,186.9199219,0.686682423,0.70766952,0.695491642,0.775087335,0.205611914,0,0,0,3679.05878,11114.31789,22190.06501,-18588.14779,-1.19377494,2,1,0,2,1,0,8,9,5,2,3,4,50.57471264,35.63218391,13.79310345,23,0.038,0.005,7.6,0.012636364,0.006672941,0.011,57.35660848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HIWhist.model,0,0,0.096,0.633333333,0.032,0,0.017333333,0.144,0.049333333,0.018666667,0.009333333,0,(Fa-Gg-Gm-Pc-Pe-Pm-Sa-Sb-Sc-Sl-Tt-Zc-)
sel.236.ch02.241001.144741.19.C.135.F.wav,C:\Users\kepar\Desktop\trace_02082025\trace_13\Encounter21-sel-Channel0-20241001_144704.wav,47:04.0,47:04.4,21,135a,95703,null,null,null,null,null,null,Pc,6916.037109,5514.137695,0.407,5514.137695,6916.037109,1401.899414,0.801263968,0.105865296,6676.925261,294.1795924,6822.577148,6215.087402,0.22556391,1.254237288,0.797297297,6635.657227,6822.577148,6729.117188,186.9199219,0.696087812,0.865033461,0.844369631,0.805100554,0.177573926,0,0,0,3422.766113,13834.53369,19872.0422,-17983.96218,-1.104986877,2,1,0,2,1,0,10,9,2,3,2,3,55.17241379,36.20689655,8.620689655,23,0.043,0.005,8.6,0.015590909,0.010957316,0.011,56.51105651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HIWhist.model,0,0,0.085333333,0.618666667,0.052,0,0.014666667,0.125333333,0.069333333,0.028,0.006666667,0,(Fa-Gg-Gm-Pc-Pe-Pm-Sa-Sb-Sc-Sl-Tt-Zc-)
sel.246.ch02.241001.144753.07.C.145.F.wav,C:\Users\kepar\Desktop\trace_02082025\trace_13\Encounter24-sel-Channel0-20241001_144705.wav,47:05.1,47:05.5,24,145a,95703,null,null,null,null,null,null,Pc,7009.49707,5514.137695,0.417,5514.137695,7009.49707,1495.359375,0.673436111,0.085227052,6652.219751,252.0974727,6729.117188,6261.817383,0.23880597,1.271186441,0.786666667,6635.657227,6822.577148,6916.037109,186.9199219,0.617347807,0.680016985,0.710866083,0.686149222,0.177573926,0,0,0,4290.713713,11485.64721,23664.54139,-17537.65041,-1.349356433,2,1,0,2,1,0,8,8,5,1,4,2,48.93617021,32.9787234,18.08510638,19,0.043,0.005,8.6,0.016666667,0.012024485,0.011,45.56354916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HIWhist.model,0,0,0.084,0.688,0.025333333,0,0.008,0.14,0.032,0.016,0.006666667,0,(Fa-Gg-Gm-Pc-Pe-Pm-Sa-Sb-Sc-Sl-Tt-Zc-)
sel.303.ch02.230221.154840.54.C.101.301.F.wav,C:\Users\kepar\Desktop\trace_02082025\trace_13\Encounter27-sel-Channel0-20230221_155441.wav,54:41.0,54:41.3,27,301a,95703,null,null,null,null,null,null,Pc,6916.037109,3925.318359,0.288,3925.318359,6916.037109,2990.71875,0.663433808,0.253103851,6096.987997,758.6251712,6355.277344,5420.677734,0.551724138,1.761904762,0.567567568,5981.4375,6261.817383,6542.197266,700.949707,0.802999441,0.628807706,0.595777895,0.623282218,0.280379883,0,0,0,10557.51411,16557.41283,24403.43424,-17999.69618,-1.355769231,2,1,0,0,0,1,7,7,3,0,2,1,66.03773585,24.52830189,9.433962264,15,0.027,0.005,5.4,0.010642857,0.0055968,0.0105,52.08333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HIWhist.model,0,0,0.132,0.556,0.025333333,0,0.016,0.148,0.064,0.02,0.038666667,0,(Fa-Gg-Gm-Pc-Pe-Pm-Sa-Sb-Sc-Sl-Tt-Zc-)
sel.967.ch02.241003.155213.89.C.484.F.wav,C:\Users\kepar\Desktop\trace_02082025\trace_13\Encounter30-sel-Channel0-20241003_155201.wav,52:01.0,52:01.3,30,484a,95703,null,null,null,null,null,null,Pc,7009.49707,5981.4375,0.23,5981.4375,7009.49707,1028.05957,0.692113244,0.115314109,6595.299516,207.9086416,6635.657227,6495.467285,0.158273381,1.171875,0.853333333,6448.737305,6635.657227,6635.657227,210.2849121,0.671598416,0.633395869,0.753958736,0.713290107,0.121497949,0,0,0,4564.323674,11084.78606,19791.52114,-17523.74268,-1.129411765,2,1,0,2,1,0,5,4,3,2,3,2,50.98039216,33.33333333,15.68627451,13,0.027,0.005,5.4,0.015166667,0.006589707,0.0135,56.52173913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HIWhist.model,0,0,0.073333333,0.673333333,0.042666667,0,0.010666667,0.116,0.069333333,0.009333333,0.005333333,0,(Fa-Gg-Gm-Pc-Pe-Pm-Sa-Sb-Sc-Sl-Tt-Zc-)
sel.967.ch02.241003.155213.89.C.484.F.wav,C:\Users\kepar\Desktop\trace_02082025\trace_13\Encounter33-sel-Channel0-20241117_212916.wav,29:16.3,29:16.7,33,516a,95703,null,null,null,null,null,null,Pc,7944.09668,5981.4375,0.358,5981.4375,7944.09668,1962.65918,0.700143785,0.184042954,7575.754481,349.6512905,7663.716797,6962.76709,0.281879195,1.328125,0.752941176,7476.796875,7663.716797,7757.176758,186.9199219,0.576602823,0.785780965,0.68576082,0.763419766,0.205611914,0,0,0,5649.4454,14324.54909,23073.40743,-19374.39825,-1.190922533,2,1,0,2,1,0,8,8,3,1,2,2,53.73134328,31.34328358,14.92537313,19,0.059,0.005,11.8,0.017222222,0.016307903,0.011,53.0726257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HIWhist.model,0,0,0.061333333,0.458666667,0.070666667,0,0.025333333,0.174666667,0.144,0.041333333,0.024,0,(Fa-Gg-Gm-Pc-Pe-Pm-Sa-Sb-Sc-Sl-Tt-Zc-)
sel.2439.ch02.241003.161145.22.C.2120.F.wav,C:\Users\kepar\Desktop\trace_02082025\trace_13\Encounter36-sel-Channel0-20241117_213108.wav,31:08.1,31:08.6,36,2120a,95703,null,null,null,null,null,null,Pc,7289.876953,5514.137695,0.53,5514.137695,7289.876953,1775.739258,0.583320716,0.157216707,6661.826016,298.2446961,6729.117188,6402.007324,0.277372263,1.322033898,0.756410256,6635.657227,6822.577148,6822.577148,186.9199219,0.606755925,0.510111862,0.530992964,0.688699868,0.261687891,0,0,0,3158.038603,11168.8924,20262.37384,-18882.7268,-1.073063973,2,1,0,2,1,0,12,9,3,4,5,2,47.86324786,33.33333333,18.8034188,27,0.069,0.005,13.8,0.017923077,0.015022445,0.011,50.94339623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HIWhist.model,0,0,0.105333333,0.673333333,0.022666667,0,0.009333333,0.104,0.049333333,0.025333333,0.010666667,0,(Fa-Gg-Gm-Pc-Pe-Pm-Sa-Sb-Sc-Sl-Tt-Zc-)
